Sample	c_carpio counts	c_carpio percentage	total_reads	T_bruceik counts	T_bruceik percentage	T_brucei427 counts	T_brucei427 percentage	LmajorFriedlin counts	LmajorFriedlin percentage	LinfantumJPCM5 counts	LinfantumJPCM5 percentage	L_donovaniLV9 counts	L_donovaniLV9 percentage	L_donovaniCLSL counts	L_donovaniCLSL percentage	S_pombe counts	S_pombe percentage	P_falciparum counts	P_falciparum percentage	P_know counts	P_know percentage	T_brucei counts	T_brucei percentage	T_cruzi counts	T_cruzi percentage	L_donovani counts	L_donovani percentage	O_sativa counts	O_sativa percentage	P_vera counts	P_vera percentage	Mouse counts	Mouse percentage	Rat counts	Rat percentage	Drosophila counts	Drosophila percentage	Worm counts	Worm percentage	Yeast counts	Yeast percentage	Arabidopsis counts	Arabidopsis percentage	Ecoli counts	Ecoli percentage	rRNA counts	rRNA percentage	MT counts	MT percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage	Vectors counts	Vectors percentage	Adapters counts	Adapters percentage	No hits counts	No hits percentage
B_pol_1	7191	4.63	154971	41489	26.78	122144	78.82	515	0.33	2091	1.35	391	0.25	2204	1.4200000000000002	2065	1.33	3078	1.98	2771	1.79	122144	78.82	2619	1.69	2224	1.4300000000000002	2603	1.68	3412	2.2	4389	2.83	4468	2.88	2706	1.75	2187	1.4100000000000001	2122	1.36	2519	1.6199999999999999	274	0.18	34	0.03	31	0.02	3	0.0	0	0.0	6849	4.42	1842	1.19	26655	17.2
B_pol_2	32933	18.32	179769	1699	0.9400000000000001	112562	62.61	53	0.03	1678	0.9400000000000001	16	0.01	1697	0.9400000000000001	2012	1.12	2054	1.1300000000000001	2011	1.12	112562	62.61	1781	0.98	1694	0.9400000000000001	2950	1.6400000000000001	3240	1.8099999999999998	2630	1.47	2702	1.5	1927	1.07	1813	1.0	1981	1.11	3054	1.7000000000000002	547	0.3	199	0.11	0	0.0	6	0.0	0	0.0	35347	19.67	29291	16.29	33850	18.83
B_pol_3	12819	6.57	194900	49266	25.28	139451	71.55	488	0.25	2676	1.37	375	0.19	2845	1.46	2966	1.52	4415	2.26	4094	2.0900000000000003	139451	71.55	3540	1.81	2846	1.4600000000000002	3699	1.89	5226	2.68	6393	3.2800000000000002	6529	3.3600000000000003	3758	1.92	3025	1.5499999999999998	3002	1.54	3731	1.9	414	0.21	117	0.060000000000000005	33	0.02	2	0.0	0	0.0	9837	5.05	3576	1.83	43677	22.41
B_sub_1	44734	13.27	337012	1918	0.5700000000000001	188683	55.989999999999995	47	0.02	1911	0.5700000000000001	26	0.0	1953	0.58	2115	0.63	2412	0.7100000000000001	2307	0.6900000000000001	188683	55.989999999999995	2116	0.63	1954	0.58	2402	0.7100000000000001	2981	0.88	3804	1.13	3418	1.02	2275	0.68	2036	0.6	2098	0.62	2368	0.7000000000000001	648	0.19	77	0.03	0	0.0	14	0.0	0	0.0	44472	13.2	40717	12.090000000000002	102923	30.54
B_sub_2	12517	4.62	271111	1651	0.61	173688	64.07	44	0.01	1650	0.6	32	0.02	1682	0.62	1833	0.68	2098	0.78	2000	0.73	173688	64.07	1841	0.68	1672	0.62	2203	0.81	2650	0.97	3357	1.24	3049	1.12	2009	0.74	1772	0.65	1821	0.67	2089	0.76	357	0.13	91	0.03	0	0.0	8	0.0	0	0.0	12421	4.59	9120	3.3600000000000003	84559	31.19
B_sub_3	15165	4.2	360641	91916	25.490000000000002	234726	65.08	441	0.12	3628	1.01	394	0.11	3853	1.07	3952	1.1	5828	1.6099999999999999	5477	1.5100000000000002	234726	65.08	5222	1.44	3961	1.1	4602	1.27	6931	1.91	9891	2.74	9563	2.6500000000000004	5306	1.47	4156	1.1500000000000001	4023	1.11	4691	1.3	339	0.09	75	0.02	674	0.19000000000000003	2	0.0	0	0.0	8251	2.29	3542	0.99	109706	30.42
B_tot_1	12691	5.56	228158	50216	22.0	163257	71.55	396	0.17	2321	1.02	332	0.13999999999999999	2450	1.08	2522	1.11	3810	1.67	3561	1.56	163257	71.55	3084	1.3499999999999999	2473	1.09	3109	1.3599999999999999	4574	2.01	5827	2.5599999999999996	5803	2.54	3298	1.45	2589	1.1300000000000001	2606	1.1400000000000001	3154	1.38	234	0.09999999999999999	122	0.05	41	0.02	8	0.0	0	0.0	7883	3.45	3757	1.64	52567	23.04
B_tot_2	17693	9.290000000000001	190545	1287	0.67	132882	69.74000000000001	59	0.03	1273	0.67	24	0.02	1290	0.67	1513	0.79	1613	0.8500000000000001	1557	0.81	132882	69.74000000000001	1410	0.74	1291	0.68	2074	1.08	2408	1.25	2396	1.26	2338	1.23	1534	0.81	1373	0.7200000000000001	1508	0.79	2107	1.11	278	0.14	135	0.06999999999999999	0	0.0	8	0.0	0	0.0	17788	9.34	14292	7.51	39823	20.9
B_tot_3	12659	6.02	210588	47985	22.79	145964	69.31	381	0.18	1953	0.92	330	0.15	2120	1.01	2115	1.0	3672	1.75	3305	1.56	145964	69.31	2909	1.39	2154	1.02	2661	1.26	4408	2.1	5758	2.73	5674	2.7	3121	1.48	2285	1.08	2196	1.04	2733	1.2899999999999998	266	0.13	27	0.01	25	0.02	1	0.0	0	0.0	7301	3.47	3746	1.78	52246	24.81
P_pol_1	43856	33.19	132134	1241	0.94	50805	38.449999999999996	28	0.02	1241	0.94	8	0.0	1251	0.95	1836	1.3800000000000001	1531	1.1600000000000001	1488	1.12	50805	38.449999999999996	1287	0.98	1253	0.95	1787	1.36	1894	1.4200000000000002	1757	1.3299999999999998	1940	1.48	1399	1.06	1384	1.05	1792	1.36	1800	1.36	599	0.46	145	0.1	0	0.0	4	0.0	0	0.0	61801	46.78	41480	31.39	35438	26.82
