,logFC,logCPM,LR,PValue,FDR,log_PValue,log_FDR,desc
Tb927.8.130,-0.07843131698110745,-1.9979680092943348,0.015386030840808473,0.9012832555328802,0.9153961523656751,0.04513869738711513,0.03839091735100409,variant surface glycoprotein (VSG  atypical)  putative
Tb927.8.150,-0.2825889568249713,-0.5105419810221751,0.5227145480410815,0.46968602456338987,0.5142760095498168,0.32819236199111546,0.2888037346000555,variant surface glycoprotein  degenerate
Tb927.8.230,4.953421557584051,-2.401781984610477,3.229546477259654,0.07232071432384166,0.09141100389193896,1.1407372929119708,1.0390015215320598,expression site-associated gene 3 (ESAG3)  degenerate
Tb927.8.270,-0.5061962762052903,4.138165114813974,16.870943882157214,4.0009384158627234e-05,6.959437716853107e-05,4.397838133414012,4.1574258475061825,variant surface glycoprotein  degenerate
Tb927.8.320,-0.23201721685234306,-0.4645485973956453,0.3840353202828375,0.5354514742735083,0.5782254350257681,0.27127988134036407,0.23790280846546125,variant surface glycoprotein  degenerate
Tb927.8.443,-1.523093499601225,0.7800662730626458,8.98388720065352,0.002723706087326907,0.004057438271681676,2.5648397585576546,2.3917480786420753,M4 ribosomal RNA
Tb927.8.470,-0.9945258208742025,0.844881826078559,10.987234305604941,0.0009174161347891337,0.001430711828159077,3.0374336261091286,2.8444478323781794,variant surface glycoprotein  degenerate
Tb927.8.480,-0.6761979272483922,4.250060817977641,10.094939229043298,0.001486770639708743,0.0022786621336962523,2.827756023806054,2.6423200646174214,phosphatidic acid phosphatase protein  putative
Tb927.8.490,0.3857904070779893,1.8593774089299697,2.480320342642104,0.11527877136444092,0.1413214033703787,0.9382506608589444,0.8497920585214733,hypothetical protein
Tb927.8.500,-1.5348850292684981,1.172868828090322,13.343219624936097,0.0002593586746863308,0.0004238709731928707,3.586099221719357,3.3727663230255303,hypothetical protein
Tb927.8.510,-0.03921769287555597,1.1310599521199693,0.01694861570542905,0.8964185988458657,0.9111752561052794,0.04748914132446615,0.04039808247905241,hypothetical protein
Tb927.8.520,-1.9062186425713799,3.0972687294293664,75.62558385931408,3.4288984281154304e-18,1.254128912921681e-17,17.464845379499327,16.90165781973098,hypothetical protein
Tb927.8.530,-0.910724240788447,6.431703813800093,113.38370009840153,1.778106584637536e-26,9.267389276363716e-26,25.750042209770438,25.033042594071155,leucine-rich repeat protein (LRRP)  point mutation
Tb927.8.540,-0.7463610768770489,7.666414011292963,35.94489945999507,2.0297701819946307e-09,4.6202431380238375e-09,8.692553131713247,8.335335169308888,N-terminal region of Chorein  a TM vesicle-mediated sorter  putative
Tb927.8.550,0.7800420664350942,6.499794706141263,105.03303396123798,1.2011654185950891e-24,5.7967505184077e-24,23.920397179577883,23.23681539047111,peptide methionine sulfoxide reductase  putative
Tb927.8.560,0.21190836307484393,6.3340005295813935,10.604214608074354,0.0011283017447334298,0.0017487873145380574,2.9475747402922954,2.757263005695209,hypothetical protein  conserved
Tb927.8.570,0.5610976461438411,7.329181094239514,27.402557593863694,1.6521259030609318e-07,3.360336632520365e-07,6.781956859605763,6.473617213585492,proteasome regulatory non-ATP-ase subunit 10
Tb927.8.580,0.0766550182425754,5.725832785905962,1.3034863212128336,0.2535773876044103,0.2932513503497474,0.5958894766439164,0.5327599793894366,MICOS complex subunit 40
Tb927.8.590,-0.7471290262182071,6.65030973200696,87.4218024177525,8.767864429582055e-21,3.607145854940072e-20,20.057106173953184,19.44283629662953,carnitine O-palmitoyltransferase  putative
Tb927.8.595,0.23190642586520124,5.655654146299592,8.907989881394181,0.0028392562436507928,0.00422245301695648,2.5467954105098416,2.3744351741051037,hypothetical protein
Tb927.8.600,-0.006284223012604776,5.660634449330517,0.0065315245243589,0.9355868140005348,0.9452802822413408,0.02891590769140192,0.024439401032702437,Bucentaur or craniofacial development  putative
Tb8.NT.8,-2.177246214667623,5.011927849860817,209.5417288950563,1.729211355933761e-47,1.945190817255639e-46,46.76215192106623,45.711037789291304,Noncoding RNA  putative
Tb927.8.610,0.5859045362596941,6.310893581018013,66.69021269806694,3.1770860219132405e-16,1.06052871458577e-15,15.497971026174906,14.97447756814947,hypothetical protein  conserved
Tb927.8.620,0.5238059343442156,6.26045288871316,62.08964037225889,3.28173314776596e-15,1.034642290064898e-14,14.483896736251989,13.985209774171219,KREPA3
Tb927.8.630,-0.33676749798519345,5.441992654372264,23.414875145348688,1.3056501124413388e-06,2.5241854785234523e-06,5.884173189519222,5.597878736060367,lipoyltransferase  putative
Tb927.8.640,-0.6239391260835956,4.620451545017664,39.632523487819896,3.0653559552092e-10,7.338999865671875e-10,9.513519087081226,9.134363120249406,Dpy-30 motif containing protein  putative
Tb927.8.650,0.6134904090718934,7.2129360476348054,40.87546609419716,1.622452056247047e-10,3.9554262198850424e-10,9.789828127818803,9.40280671192086,cation-transporting ATPase  putative
Tb927.8.660,0.08301560762334075,4.350788798603937,0.6499539031574173,0.42012916085445295,0.4645106211964942,0.3766171733569067,0.3330043512628207,Sel1 repeat  putative
Tb927.8.670,-0.2250459076406757,4.9182692494256814,3.6248207462275754,0.05692370391981597,0.0728351437359694,1.2447068489320556,1.137659018382056,hypothetical protein  conserved
Tb927.8.680,-0.35793812751050896,4.954360645582281,14.843516589299547,0.00011680890469176856,0.00019595182255802675,3.932524048395811,3.707850692771676,KREPA5
